"ЭНРОНИТ® (ENRONIT) раствор д/инъекций";"Расфасован по 10, 20, 50 и 100 мл во флаконы из темного стекла соответствующей вместимости, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждый флакон снабжен инструкцией по применению."
"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор";"Расфасован по 100 мл в полимерные флаконы, по 1 л в полимерные бутылки и по 5 л в полимерные канистры, укупоренные полимерными крышками с контролем первого вскрытия."
"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения";"Расфасован по 100 и 500 мл в полимерные бутылки с навинчиваемыми крышками, снабженными дозатором вместимостью 10 мл. Бутылки с препаратом объемом 100 и 500 мл упакованы в индивидуальные пачки из картона. Каждая потребительская упаковка снабжена инструкцией по применению препарата."
"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";"Расфасован по 10, 20, 50, 100, 200 и 250 мл в стеклянные или полимерные флаконы соответствующей вместимости, по 500 мл в стеклянные бутылки. Флаконы с препаратом объемом 50 и 100 мл упакованы в индивидуальные картонные пачки. Каждая потребительская упаковка снабжена инструкцией по применению."
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы, герметично укупоренные резиновыми пробками и обкатанные алюминиевыми колпачками с клипсами контроля первого вскрытия. Каждая потребительская упаковка снабжена инструкцией по применению препарата."
"ФЛОРОКС® (FLOROX) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы, герметично укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждая единица фасовки снабжена инструкцией по применению."
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждая потребительская упаковка снабжена инструкцией по применению лекарственного препарата."
"СТРОЛИТИН® (STROLITINE) раствор";"Расфасован по 20 мл в стеклянные флаконы, укупоренные резиновыми пробками и закатанные алюминиевыми колпачками, по 1 л в полимерные бутылки или по 5 л в полимерные канистры. Полимерные бутылки и канистры укупорены полимерными крышками с контролем первого вскрытия. Каждую упаковку маркируют этикеткой на русском языке с указанием: наименования организации-производителя, ее адреса и товарного знака, названия, назначения и способа применения добавки, состава и гарантированных показателей, срока и условий хранения, даты изготовления, объема в единице фасовки, номера партии, информации о соответствии, надписи ""Для животных"" и снабжают инструкцией по применению."
"СЕПРАНОЛ (SEPRANOL)";"Расфасованы по 2 шт. в блистеры из фольги, упакованные по 5 блистеров в пачку из картона."
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";"Расфасован по 20, 50, 100 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждая единица фасовки снабжена инструкцией по применению препарата."
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"Расфасован по 20, 50 и 100 мл во флаконы из темного стекла, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками."
"МАСТОМИЦИН® (MASTOMICIN)";"Расфасован по 10 мл в специальные шприцы с канюлей для интрацистернального введения, укупоренные защитными колпачками. Каждая потребительская упаковка снабжена инструкцией по применению лекарственного препарата."
"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций";"Расфасован по 100 и 250 мл в стеклянные или полимерные флаконы соответствующей вместимости, по 500 мл в стеклянные бутылки, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждая потребительская упаковка снабжена инструкцией по применению препарата."
"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор";"Расфасован по 1 л в полимерные бутылки. Полимерные бутылки укупорены полимерными крышками с контролем первого вскрытия. Каждая единица фасовки снабжена инструкцией по применению."
"ДОКСИЛОКС OR (DOXYLOX OR)";"Расфасован по 1000 мл в полимерные бутыли или по 5000 мл в полимерные канистры, укупоренные навинчиваемыми крышками с контролем первого вскрытия."
"ДИТРИМ® (DITRIM®) раствор д/инъекций";"Расфасован по 20, 50 и 100 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленные алюминиевыми колпачками. Каждая потребительская упаковка снабжена инструкцией по применению."
"БУТОФАН® (BUTOFAN) раствор д/инъекций";"Расфасован по 20, 50, 100 мл в стеклянные флаконы или по 250, 500 мл в стеклянные бутылки соответствующей вместимости. Флаконы и бутылки укупорены резиновыми пробками и укреплены алюминиевыми колпачками. Флаконы с препаратом объемом 50 и 100 мл упакованы в индивидуальные пачки из картона. Каждая потребительская упаковка снабжена инструкцией по применению."
"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций";"Расфасована по 50, 100 и 250 мл в стеклянные флаконы соответствующей вместимости, герметично укупоренные резиновыми пробками и укрепленными алюминиевыми колпачками. Каждая единица фасовки снабжена инструкцией по применению."
"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций";"Расфасована по 10, 20 и 100 мл в стеклянные флаконы соответствующей вместимости, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Флаконы по 10 и 20 мл упакованы по 40 шт. в картонные коробки. Количество инструкций по применению должно соответствовать количеству единиц упаковок. Флаконы по 100 мл снабжены инструкцией по применению."
"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)";"Расфасован по 1 л в полиэтиленовые канистры, которые закрыты резьбовыми пластмассовыми крышками с контролем первого вскрытия. Каждая единица фасовки снабжена инструкцией по применению."
"СТАРТИН-ФИТО (STARTINUM-FITO)";"Расфасован в комплект-упаковку общей массой 555 г, состоящую из четырех герметично запаянных полиэтиленовых пакетов: пакет №1 - 220 г; пакет №2 - 250 г, пакет №3 - 65 г, пакет №4 - 20 г. Каждая потребительская упаковка снабжена инструкцией по применению."
"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения";"Расфасована по 10, 15, 20, 25, 30, 35, 40, 50, 60, 100, 120, 130, 140, 150, 160, 170, 180, 200, 250, 300, 350, 400, 450, 500, 550, 600, 700, 800, 900 г и 1 кг в стеклянные банки с навинчиваемыми крышками или в банки полимерные, укупоренные крышками с контролем первого вскрытия, или по 10, 15, 20, 25, 30, 35, 40, 50, 60, 80, 100, 120, 130, 140, 150, 160, 170, 180, 200 г в тубы полимерные. Каждая упаковка снабжена инструкцией по применению."
"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"Расфасована по 40, 50, 60, 70, 80, 100, 130, 140, 150, 350, 400, 450, 500, 550 г и 1 кг в стеклянные банки с навинчивающимися крышками или в полимерные банки с герметично закрывающимися крышками с контролем первого вскрытия или в тубы полимерные."
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"Расфасована по 40, 50, 60, 70, 80, 90, 100, 120, 130, 140, 150, 160, 200, 250, 300, 350, 400, 450, 500 г в банки из оранжевого стекла с навинчивающимися крышками или полимерные банки, укупоренные крышками с контролем первого вскрытия, или в тубы полимерные."
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"Расфасована по 10, 15, 20, 25, 30, 35, 40, 50, 60, 70, 80, 90, 100, 120, 130, 140, 150, 160, 200, 250, 300, 350, 400, 450, 500, 550 г и 1 кг в полимерные банки укупоренные крышками с контролем первого вскрытия или по 10, 15, 20, 25, 30, 35, 40, 50, 60, 70, 80, 90, 100, 120, 130, 140, 150, 160, 200, 250, 300, 350 г в тубы полимерные. Каждая упаковка снабжена инструкцией по применению."
"ЛЕРСИН® (LERSINUM) порошок";"Расфасован в комплект-упаковку, в состав которой входят три герметично запаянных пакета."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%";"Расфасован по 50 г, 100 г, 200 г, 250 г, 300 г, 500 г, 1 кг, 2 кг, 3 кг в стеклянные бутылки, банки, флаконы или в полимерные бутылки; по 1 кг, 2 кг , 3 кг или 5 кг во флаконы или канистры; по 10 кг, 15 кг, 20 кг или 21.5 кг в стальные или полимерные канистры."
"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%";"Расфасован по 50 г, 100 г, 200 г, 250 г, 300 г, 500 г, 1 кг, 2 кг, 3 кг в стеклянные бутылки, банки, флаконы или в полимерные бутылки; по 1 кг, 2 кг, 3 кг или 5 кг во флаконы или канистры; по 10 кг, 15 кг, 20 кг или 21.5 кг в стальные или полимерные канистры."
"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения";"Расфасован по 25, 45, 50, 60, 70, 80, 90, 100, 120, 130, 140, 150, 180, 200, 220, 250, 270, 300, 350, 400, 450, 500, 900 г и по 1 кг в полимерные бутылки и флаконы, укупоренные навинчиваемыми крышками, а также в полимерные флаконы с механической распылительной головкой. Каждая упаковка снабжена инструкцией по применению."
"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)";"Расфасован по 100 г, 200 г, 250 г, 300 г, 350 г, 400 г, 500 г, 700 г, 800 г, 1 кг, 1.5 кг, 2 кг, 2.5 кг, 3 кг, 3.5 кг, 5 кг, 10 кг, 20 кг в стеклянные бутылки, банки, флаконы, а также полиэтиленовые флаконы и канистры с навинчиваемыми крышками."
"ЙОДИНОКОЛЬ (IODINOKOLUM)";"Расфасован по 100 г, 200 г, 250 г, 300 г, 400 г, 500 г, 1 кг, 1.5 кг, 2 кг, 2.5 кг, 3 кг, 3.5 кг, 4 кг, 4.5 кг, 5 кг в стеклянные бутылки, флаконы или в полиэтиленовые фляги, канистры; по 10 кг и 20 кг в полиэтиленовые канистры и фляги."
"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения";"Расфасован по 100 г, 200 г, 250 г, 300 г, 350 г, 400 г, 500 г, 550 г, 700 г, 800 г, 1 кг, 1.5 кг, 2 кг, 2.5 кг, 3 кг, 3.5 кг, 4 кг, 5 кг, 10 кг, 11 кг, 15 кг, 20 кг, 21 кг, 22 кг, 25 кг, 30 кг, 35 кг, 40 кг, 45 кг и 50 кг в стеклянные или в полиэтиленовые бутылки, флаконы, полиэтиленовые канистры."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%";"Расфасован по 0.05, 0.09, 0.1, 0.2, 0.3, 0.45, 0.5, 1, 2, 3 или 5 кг в стеклянные бутылки, банки, флаконы или в полиэтиленовые флаконы; по 10, 19, 20, 30 кг в канистры с навинчиваемыми крышками, а также по 50, 100, 180 и 200 кг в металлические или полимерные канистры, бочки."
"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%";"Расфасован по 0.05, 0.09, 0.1, 0.2, 0.3, 0.45, 0.5, 1, 2, 3 или 5 кг в стеклянные бутылки, банки, флаконы или в полиэтиленовые флаконы; по 10, 19, 20, 30 кг в канистры с навинчиваемыми крышками, а также по 50, 100, 180 и 200 кг в металлические или полимерные канистры, бочки."
"БУТОФАН® OR (BUTOFAN OR) раствор";"Расфасован по 1000 мл в полимерные бутылки или по 5000 мл в полимерные канистры. Бутылки и канистры укупорены полимерными крышками с контролем первого вскрытия. Каждую упаковку маркируют этикеткой на русском языке с указанием: наименования организации-производителя, ее адреса и товарного знака, названия, назначения и способа применения добавки, состава и гарантированных показателей, срока и условий хранения, даты изготовления, объема в единице фасовки, номера партии, информации о соответствии, регистрационного номера, обозначение СТО, надписи ""Для животных"" и снабжают инструкцией по применению."
