species.name;breeds.name (NOT NULL)
Кролики;Карликовый лисий кролик
Кролики;Карликовый хотот 
Кролики;Лисий кролик
Кролики;Львиноголовый карликовый кролик
Кролики;Люкс
Кролики;Макленбургский пятнистый кролик
Кролики;Марбургская белка
Кролики;Немецкий большой серебристый кролик
Кролики;Немецкий Великан
Кролики;Немецкий великан белый
Кролики;Немецкий великан пятнистый
Кролики;Немецкий великан серый
Кролики;Немецкий кролик
Кролики;Немецкий пёстрый кролик
Кролики;Новозеландский белый кролик
Кролики;Новозеландский красный кролик
Кролики;Новозеландский кролик
Кролики;Огненный кролик
Кролики;Паломино
Кролики;Песцовый пуховой кролик (цветной)
Кролики;Пятнистый двуцветный кролик
Кролики;Реинский пёстрый кролик
Кролики;Рекс (коротковолосый кролик)
Кролики;Рекс беличий
Кролики;Рекс белый
Кролики;Рекс голубой (тёмно-голубой рекс, блю-рекс)
Кролики;Рекс далматинский
Кролики;Рекс жёлтый
Кролики;Рекс карликовый
Кролики;Рекс люкс
Кролики;Рекс мардер
Кролики;Рекс огненный
Кролики;Рекс пятнистый двуцветный
Кролики;Рекс русский
Кролики;Рекс серо-голубой
Кролики;Рекс чёрный (блек-рекс)
Кролики;Рекс шиншиловый (шин-рекс)
Кролики;Рекс японский
Кролики;Рекс-бабочка белый
Кролики;Рекс-белка
Кролики;Рекс-гаванна
Кролики;Рекс-кастор (Рекс бобровый)
Кролики;Рен
Кролики;Ризен
Кролики;Русский горностаевый кролик (гималайский кролик)
Кролики;Сатиновый кролик (атласный)
Кролики;Сашенгольд
Кролики;Сепаратор
Кролики;Серебристый
Кролики;Серебристый большой светлый кролик
Кролики;Серебристый мелкий кролик
Кролики;Серый Великан
Кролики;Сиамский кролик
Кролики;Советская шиншилла
Кролики;Советский мардер
Кролики;Термонский кролик
Кролики;Трианта
Кролики;Фландр (бельгийский Великан)
Кролики;Французский белый хохот
Кролики;Хотот
Кролики;Чёрно-бурый кролик
Кролики;Чёрно-остевой кролик
Кролики;Чехословацкий пёстрый кролик
Кролики;Чешская бабочка
Кролики;Чешский красный кролик
Кролики;Шведская белка
Кролики;Японский кролик
Крупный рогатый скот;
Лошади; Другая
Лошади;Адаевская лошадь
Лошади;Алтайская порода
Лошади;Американская верховая порода
Лошади;Американская миниатюрная (American miniature horse)
Лошади;Американская стандартбредная порода
Лошади;Англо-кабардинская породная группа
Лошади;Англо-нормандская порода
Лошади;Англо-рысистая
Лошади;Англо-тракененская
Лошади;Андалузская порода
Лошади;Арабская помесь
Лошади;Арабская чистокровная порода
Лошади;Аргентинская верховая порода
Лошади;Ардены
Лошади;Арьежская порода
Лошади;Ахалтекинская порода
Лошади;Башкирская порода
Лошади;Белорусская упряжная порода
Лошади;Берберийская порода
Лошади;Беспородная
Лошади;Боснийская порода
Лошади;Брабансоны
Лошади;Бранденбургская порода
Лошади;Бретонская порода
Лошади;Буденновская порода
Лошади;Булонская порода
Лошади;Бурятская порода
Лошади;Варварийская порода
Лошади;Великопольская порода
Лошади;Венгерская
Лошади;Владимирский тяжеловоз
Лошади;Воронежская упряжная порода
Лошади;Восточно-прусские лошади
Лошади;Вятская порода
Лошади;Гакне
Лошади;Галловейская (гэллоуэйская) порода
Лошади;Ганноверская порода
Лошади;Гафлингская порода (гафлингер)
Лошади;Гидран
