Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
собаки;беардед колли (хайланд колли);Собаки;БОРОДАТАЯ КОЛЛИ ;;;
собаки;бедлингтон терьер;Собаки;БЕДЛИНГТОН ТЕРЬЕР ;;;
собаки;белый английский терьер;Собаки;Белый английский терьер;нет в справочнике AnimalID;;
собаки;бельгийская лакенуа;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (лакенуа) ;;;
собаки;бельгийская малинуа;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (малинуа) ;;;
собаки;бельгийский гриффон;Собаки;Бельгийский гриффон;;;
собаки;бельгийский грюнендаль;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (грюнендаль) ;;;
собаки;бельгийский тервюрен;Собаки;БЕЛЬГИЙСКАЯ ОВЧАРКА (тервюрен) ;;;
собаки;бергамаско, бергамская овчарка;Собаки;Бергамаскер;;;
собаки;бернский зенненхунд;Собаки;БЕРНСКИЙ ЗЕННЕНХУНД ;;;
собаки;беспородная;Собаки;Беспородная;;;
собаки;бигль;Собаки;БИГЛЬ ;;;
собаки;бишон фризе;Собаки;БИШОН ФРИЗЕ ;;;
собаки;бладхаунд;Собаки;Бладхаунд (шьен де сен-юбер);;;
собаки;блю лейси;Собаки;Блю-лейси (blue lacy);;;
собаки;бобтейл, староанглийская овчарка;Собаки;СТАРОАНГЛИЙСКАЯ ОВЧАРКА (бобтейл) ;;;
собаки;боксёр;Собаки;НЕМЕЦКИЙ БОКСЕР ;;;
собаки;Болонка;Собаки;Болонка;;;
собаки;болонский бишон;Собаки;Болонский Бишон (Болоньез);;;
собаки;большая голубая гасконская гончая;Собаки;Большая голубая гасконская гончая;;;
собаки;большая древесная гончая;Собаки;Большая древесная гончая;нет в справочнике AnimalID;;
собаки;большая пиринейская собака;Собаки;ПИРЕНЕЙСКАЯ ГОРНАЯ СОБАКА ;;;
собаки;большая швейцарская горная пасту;Собаки;Большой швейцарский зенненхунд;;;
собаки;большой вандейский гриффон;Собаки;БОЛЬШОЙ ВАНДЕЙСКИЙ БАССЕТ-ГРИФОН ;;;
собаки;большой немецкий шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;;;
собаки;бордер колли;Собаки;БОРДЕР КОЛЛИ ;;;
собаки;бордер терьер;Собаки;БОРДЕР ТЕРЬЕР ;;;
собаки;бордосский дог (французский мастифф);Собаки;Бордоский дог;;;
собаки;борзой, русская псовая борзая;Собаки;РУССКАЯ ПСОВАЯ БОРЗАЯ ;;;
собаки;босерон;Собаки;Французская гладкошерстная овчарка (черноподпалый);;;
собаки;бостон-терьер;Собаки;БОСТОН ТЕРЬЕР ;;;
собаки;брабансон;Собаки;Пти Брабансон;;;
собаки;бретонский эпаньоль;Собаки;БРЕТОНСКИЙ ЭПАНЬОЛ ;;;
собаки;бриар;Собаки;БРИАР ;;;
собаки;брюссельский гриффон;Собаки;БРЮССЕЛЬСКИЙ ГРИФФОН ;;;
собаки;бульмастиф;Собаки;Бульмастиф;;;
собаки;бультерьер;Собаки;БУЛЬТЕРЬЕР ;;;
собаки;бультерьер миниатюрный;Собаки;Бультерьер миниатюрный;;;
собаки;бурбонский брак;Собаки;Бурбонский бракк;;;
собаки;бурбуль;Собаки;Южноафриканский бурбуль;;;
собаки;веймаренер;Собаки;ВЕЙМАРАНЕР ;;;
собаки;Вельш корги;Собаки;Вельш корги;;;
собаки;вельш корги кардиган;Собаки;Вельш корги кардиган;;;
собаки;вельш корги пемброук;Собаки;Вельш корги пемброк;;;
собаки;вельш-терьер;Собаки;ВЕЛЬШ ТЕРЬЕР ;;;
собаки;вестфальский таксообразный брак;Собаки;Вестфальский таксообразный бракк;;;
собаки;вест хайленд уайт терьер;Собаки;ВЕСТ ХАЙЛЕНД ВАЙТ ТЕРЬЕР ;;;
собаки;ветерхаунд, голландский спаниель;Собаки;Веттерхун (голландский водяной спаниель);;;
собаки;восточно-европейская овчарка;Собаки;Восточно-европейская овчарка;;;
собаки;восточносибирская лайка;Собаки;Восточно-сибирская лайка;;;
собаки;выжла, венгерская легавая;Собаки;ВЕНГЕРСКАЯ КОРОТКОШЕРСТНАЯ ЛЕГАВАЯ ;;;
собаки;гаванский бишон;Собаки;Бишон хаванез;;;
собаки;германский дратхаар;Собаки;НЕМЕЦКИЙ ДРАТХААР ;;;
собаки;гладкошерстный ретривер;Собаки;ПРЯМОШЕРСТНЫЙ РЕТРИВЕР ;;;
собаки;гладкошерстный фокстерьер;Собаки;ФОКСТЕРЬЕР ГЛАДКОШЕРСТНЫЙ ;;;
собаки;голая собака инков;Собаки;Перуанская голая собака (средняя);;;
собаки;голландская овчарка;Собаки;Голландская овчарка (длинношерстная);;;
собаки;голубой пикардийский эпаньоль;Собаки;Голубой пикардийский спаниель;;;
собаки;голубой хиллер;Собаки;АВСТРАЛИЙСКИЙ ХИЛЕР ;;;
собаки;гончая плотта;Собаки;Гончая Плотта;нет в справочнике AnimalID;;
собаки;гордон-сеттер;Собаки;СЕТТЕР ГОРДОН ;;;
собаки;гранди поденгу португезу;Собаки;Португальский поденго (гладкошерстный);;;
собаки;грейхаунд;Собаки;ГРЕЙХАУНД ;;;
собаки;Гриффон;Собаки;Гриффон;;;
собаки;гриффон кортальса;Собаки;Гриффон Кортальса;;;
собаки;далматин;Собаки;ДАЛМАТИН ;;;
собаки;датский брохольмер;Собаки;Брохолмер;;;
собаки;денди-динмонт терьер;Собаки;ДЕНДИ ДИНМОНТ ТЕРЬЕР ;;;
собаки;джек рассел терьер;Собаки;Джек-рассел-терьер;;;
собаки;джек-рассел-терьер;Собаки;Джек-рассел-терьер;;;
собаки;Доберман;Собаки;Доберман;;;
собаки;доберман-пинчер;Собаки;Доберман-пинчер;;;
собаки;дратхаар;Собаки;НЕМЕЦКИЙ ДРАТХААР ;;;
собаки;древер;Собаки;Древер;;;
собаки;другая;Собаки;Другая;нет в справочнике AnimalID;;
собаки;западно-сибирская лайка;Собаки;Западно-сибирская лайка;;;
собаки;золотистый ретривер;Собаки;ЗОЛОТИСТЫЙ РЕТРИВЕР ;;;
собаки;ирландский водяной спаниель;Собаки;ИРЛАНДСКИЙ ВОДНЫЙ СПАНИЕЛЬ ;;;
собаки;ирландский волкодав (вольфхаунд);Собаки;ИРЛАНДСКИЙ ВОЛКОДАВ ;;;
собаки;ирландский красно-белый сеттер;Собаки;ИРЛАНДСКИЙ КРАСНЫЙ И БЕЛЫЙ СЕТТЕР ;;;
собаки;ирландский сеттер;Собаки;ИРЛАНСКИЙ СЕТТЕР ;;;
собаки;ирландский терьер;Собаки;ИРЛАНДСКИЙ ТЕРЬЕР ;;;
собаки;испанский брак, испанская легавая;Собаки;Бургосский пойнтер;;;
собаки;испанский мастиф;Собаки;Испанский мастиф;;;
собаки;итальянский брак;Собаки;Итальянский бракк (бело-оранжевый);;;
собаки;йемтхунд, шведский элкхаунд;Собаки;Емтхунд;;;
собаки;йоркширский терьер;Собаки;ЙОРКШИРСКИЙ ТЕРЬЕР ;;;
собаки;кавказская овчарка;Собаки;Кавказская овчарка;;;
собаки;ка де бо;Собаки;Перро дого майоркин (ка де бо);;;
собаки;кангал;Собаки;Кобан кёпежи (анатолийская овчарка);;;
собаки;кан ди агуа;Собаки;ПОРТУГАЛЬСКАЯ ВОДНАЯ СОБАКА ;;;
собаки;кане корсо;Собаки;Кане корсо;;;
собаки;каракачанская овчарка;Собаки;Каракачанская собака (Болгарская овчарка);нет в справочнике AnimalID;;
собаки;карело-финская лайка;Собаки;Карело-Финская лайка;;;
собаки;карликовый пинчер;Собаки;Карликовый пинчер;;;
собаки;кеесхонд;Собаки;Вольфшпиц;;;
собаки;келпи;Собаки;Келпи;;;
