"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 100 мг, 120 мг";"KRKA d.d., Novo Mesto (Словения)";"KRKA d.d., Novo Mesto (Словения)";"КРКА, фармацевтический завод, д.д., Ново место АО (Словения)"
"ОТИФРИ (OTIFREE)";"VETOQUINOL Biovet S.p. z.o.o. (Польша)";"VETOQUINOL Biovet S.p. z.o.o. (Польша)";"ВЕТОКИНОЛ С.А. (Франция)"
"ЭНРОНИТ® OR (ENRONIT® OR)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЭНРОНИТ® (ENRONIT) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ФЛОРОКС® (FLOROX) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"СТРОЛИТИН® (STROLITINE) раствор";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"СЕПРАНОЛ (SEPRANOL)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"МАСТОМИЦИН® (MASTOMICIN)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ДОКСИЛОКС OR (DOXYLOX OR)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ДИТРИМ® (DITRIM®) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"БУТОФАН® (BUTOFAN) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций";"МОСАГРОГЕН ЗАО (Россия)";"МОСАГРОГЕН ЗАО (Россия)";"МОСАГРОГЕН ЗАО (Россия)"
"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)";"МОСАГРОГЕН ЗАО (Россия)";"МОСАГРОГЕН ЗАО (Россия)";"МОСАГРОГЕН ЗАО (Россия)"
"СТАРТИН-ФИТО (STARTINUM-FITO)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
"ЛЕРСИН® (LERSINUM) порошок";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"ЗАВОД ВЕТЕРИНАРНЫЕ ПРЕПАРАТЫ АО (Россия)";"Завод ""Ветеринарные препараты"" АО (Россия)"
