"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций";" 840-1-33.12-2184 № ПВИ-1-33.12/03853 от 19.08.14"
"ПУЛВАК E. coli (POULVAC E. coli)";" 840-1-3.15-2568 № ПВИ-1-3.15/04522 от 09.04.15"
"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь";" 840-1-19.12-3070 № ПВИ-1-19.12/03780 от 16.03.16"
"ПУЛВАК IB QX (POULVAC IB QX)";" 840-1-26.13-1623 № ПВИ-1-26.13/01401 от 25.10.13"
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 25 мг";"840-3-13.13-1774 № ПВИ-3-2.7/02139 от 13.01.14"
"АПОКВЕЛ (APOQUEL) 3.6 мг";" 840-3-1.16-2998 № ПВИ-3-1.16/04707 от 19.02.16"
"АПОКВЕЛ (APOQUEL) 5.4 мг";" 840-3-1.16-2998 № ПВИ-3-1.16/04707 от 19.02.16"
"АПОКВЕЛ (APOQUEL) 16 мг";" 840-3-1.16-2998 № ПВИ-3-1.16/04707 от 19.02.16"
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 15 мг";"705-3-2.15-2540 № ПВИ-3-9.9/02978 от 19.03.15"
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 50 мг";"705-3-2.15-2540 № ПВИ-3-9.9/02978 от 19.03.15"
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 150 мг";"705-3-2.15-2540 № ПВИ-3-9.9/02978 от 19.03.15"
"ФЛУБАКТИН® (FLUBACTIN®)";"705-3-3.14-3272 № ПВИ-3-1.3/01341 от 04.07.16"
"ФИПРИСТ® СПРЕЙ (FYPRYST® SPRAY) раствор д/наружного применения";" 705-3-21.12-1115 № ПВИ-3-21.12/03840 от 09.11.12"
"ТРИСУЛЬФОН® (TRISULFON®)";" 705-3-23.11-0542 № ПВИ-3-1.0/00255 от 18.01.12"
"ТРИСУЛЬФОН® СУСПЕНЗИЯ ДЛЯ ОРАЛЬНОГО ПРИМЕНЕНИЯ (TRISULFON® ORAL SUSPENSION)";" 705-3-25.13-1622 № ПВИ-3-25.13/04099 от 25.10.13"
"СОЛВИМИН® СЕЛЕН (SOLVIMIN® SELEN)";" 705-3-29.13-1670 № ПВИ-3-6.8/02495 от 15.11.13"
"РИКАРФА® (RYCARFA) раствор д/инъекций";"№ РК-ВП-4-2004-12 от 24.09.12"
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ СОБАК (MILPRAZON® TABLETS FOR DOGS) 2.5+25 мг";" 705-3-9.14-2361 № ПВИ-3-9.14/04383 от 22.10.14"
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ СОБАК (MILPRAZON® TABLETS FOR DOGS) 12.5+125 мг";" 705-3-9.14-2361 № ПВИ-3-9.14/04383 от 22.10.14"
