"ВетАС Вид id","ВетАС Вид name","ВетАС Порода id","ВетАС Порода","ВетАС pets_count","AnimalId вид id","AnimalId вид name","AnimalId порода id","AnimalId порода","filter","exclude","Комментарий",,"редактировала ","не нашла в AnimalId"
15,"морские свинки",400,"агути",1,63,"Грызуны",2305,"Агути","f","f","в  AnimalID отсутствует порода ",,,
15,"морские свинки",401,"альпака",6,63,"Грызуны",2154,"Морская свинка (Альпака)","f","f",,,,
15,"морские свинки",402,"американский крестед",3,63,"Грызуны",2155,"Морская свинка (Американский крестед)","f","f",,,,
15,"морские свинки",403,"английский крестед",4,63,"Грызуны",2156,"Морская свинка (Английский крестед)","f","f",,,,
15,"морские свинки",404,"болдуин",1,63,"Грызуны",2157,"Морская свинка (Болдуин)","f","f",,,,
15,"морские свинки",405,"гималайцы",1,63,"Грызуны",2149,"Морская свинка (Гималайцы)","f","f",,,,
15,"морские свинки",407,"двухцветные",3,63,"Грызуны",2150,"Морская свинка (Двухцветные)","f","f",,,,
15,"морские свинки",408,"коронет",1,63,"Грызуны",2159,"Морская свинка (Коронет)","f","f",,,,
15,"морские свинки",409,"куи",1,63,"Грызуны",2172,"Морская свинка (Куи)","f","f",,,,
15,"морские свинки",410,"мерино",4,63,"Грызуны",2161,"Морская свинка (Мерино)","f","f",,,,
15,"морские свинки",1121,"рекс",2,63,"Грызуны",2163,"Морская свинка (Рекс)","f","f",,,,
15,"морские свинки",417,"скинни",4,63,"Грызуны",2168,"Морская свинка (Скинни)","f","f",,,,
15,"морские свинки",418,"тедди",3,63,"Грызуны",685,"Морская свинка (американский тедди)","f","f",,,,
15,"морские свинки",420,"трехцветные",6,63,"Грызуны",2151,"Морская свинка (Трёхцветные)","f","f",,,,
15,"морские свинки",421,"чалые",1,63,"Грызуны",2152,"Морская свинка (Чалые)","f","f",,,,
15,"морские свинки",422,"шелти",2,63,"Грызуны",2169,"Морская свинка (Шелти)","f","f",,,,
15,"морские свинки",,,71,63,"Грызуны",2242,"Морская свинка (Cavia porcellus)","f","f",,,,
16,"мышь",,,9,63,"Грызуны",2173,"Мыши (Muridae)","f","f",,,,
32,"насекомые энтомофаги",,,2,,,,,"t","f","Нет обмена с AnimalID",,,
18,"овцы",,,2,59,"С/Х животные",2121,"Овцы","f","f",,,,
17,"паукообразные",,,3,,,,,"t","f","Нет обмена с AnimalID",,,
35,"Песец",1161,"Обыкновенный песец (полярная лисица)",2,65,"Хищные",1717,"Песец (Alopex lagopus)","f","f",,,,
19,"песчанка",,,6,63,"Грызуны",2175,"Песчанки (Gerbillinae)","f","f",,,,
20,"попугай",459,"волнистый попугай",6,3,"Птицы",2180,"Волнистый попугайчик (Melopsittacus undulatus)","f","f",,,,
20,"попугай",464,"жако",1,3,"Птицы",753,"Жако, серый попугай (Psittacus erithacus)","f","f",,,,
20,"попугай",544,"какарики (cyanoramphus)",1,3,"Птицы",2184,"Какарики, Антиподский прыгающий попугай (Cyanoramphus unicolor)","f","f",,,,
20,"попугай",519,"мускусные лорикеты (glossopsitta)",1,3,"Птицы",2185,"Мускусный лорикет (Glossopsitta concinna)","f","f",,,,
20,"попугай",530,"неразлучники (agapornis)",1,3,"Птицы",2193,"Неразлучники (Agapornis)","f","f",,,,
20,"попугай",532,"нимфа или карелла (nymphicus)",2,3,"Птицы",2203,"Корелла (Nymphicus hollandicus)","f","f",,,,
20,"попугай",,,4,3,"Птицы",2216,"Попугай","f","f",,,,
21,"птицы",560,"ворон",3,3,"Птицы",2217,"Ворон (Corvus corax)","f","f",,,,
21,"птицы",,,7,3,"Птицы",,,"f","f",,,,
22,"рептилии",,,11,64,"Рептилии пресмыкающиеся",,,"f","f",,,,
24,"свиньи",,,1,59,"С/Х животные",2122,"Свиньи","f","f",,,,
25,"собаки",735,"бельгийский брак",1,1,"Собаки",2301,"Бельгийский бракк","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",739,"бергамаско, бергамская овчарка",1,1,"Собаки",38,"Бергамаскер","f","f",,,,
25,"собаки",741,"бийи",1,1,"Собаки",44,"Бийи","f","f",,,,
25,"собаки",746,"большая голубая гасконская гончая",1,1,"Собаки",52,"Большая голубая гасконская гончая","f","f",,,,
25,"собаки",747,"большая древесная гончая",1,1,"Собаки",2278,"Большая древесная гончая","f","f",,,,
25,"собаки",757,"боснийская грубошерстная гончая",1,1,"Собаки",2313,"Боснийская грубошерстная гончая (Барак)","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",760,"брандл-брак",1,1,"Собаки",6,"Австрийский гладкошёрстный бракк","f","f","подтвердить","да",,
25,"собаки",761,"бруно-де-юра",1,1,"Собаки",2312,"Швейцарская юрская гончая (Бруно-де-юра)","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",766,"вельш-спрингер-спаниель",1,1,"Собаки",80,"Вельш-спрингер-спаниель","f","f",,,,
25,"собаки",770,"водяной спаниель",1,1,"Собаки",115,"Ирландский водяной спаниель","f","f","в  AnimalID отсутствует порода ","Есть ""Ирландский водяной спаниель"" и ""Американский водяной спаниель""",,
25,"собаки",771,"водяной твид спаниель",1,1,"Собаки",2314,"Водяной твид спаниель","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",776,"гавайская собака пои",1,1,"Собаки",2315,"Гавайская собака пои","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",778,"гамильтонстёваре",1,1,"Собаки",99,"Гончая гамильтона","f","f","верно ли выбрана порода?","да",,
25,"собаки",629,"германский короткошерстный пойнт",1,1,"Собаки",157,"Немецкий курцхаар","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",783,"глен-оф-имаал-терьер",1,1,"Собаки",121,"Ирландский терьер (глен оф имаал)","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",786,"голландский смаусхонд",1,1,"Собаки",95,"Голландский смаусхонд","f","f",,,,
25,"собаки",787,"голландский тульпхонд",1,1,"Собаки",2316,"Голландский тульпхонд (Маркизье)","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",791,"голубой пикардийский эпаньоль",1,1,"Собаки",98,"Голубой пикардийский спаниель","f","f",,,,
25,"собаки",793,"голштинская гончая",1,1,"Собаки",2317,"Голштинская гончая","f","f","верно ли выбрана порода?","нет",,
25,"собаки",838,"джиндо",1,1,"Собаки",151,"Корейский джиндо","f","f","верно ли выбрана порода?","да",,
25,"собаки",805,"древер",1,1,"Собаки",110,"Древер (Шведский таксообразный бракк)","f","f",,,,
25,"собаки",809,"дункер",1,1,"Собаки",112,"Дункер (норвежская гончая)","f","f",,,,
