ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
365;ООО ВЕТМАРКЕТ;Новомосковский административный округ;поселение Московский;город Москва, город Московский, 3-й микрорайон, владение 22А, строение 20;77-11-503;27.01.2040;;920027028
366;ИП Маслов А.С.;Северо-Восточный административный округ;Бутырский район;город Москва, улица Добролюбова, дом 18;77-05-504;27.02.2040;;920027031
367;ИП Бобрышова Н.И.;Новомосковский административный округ;поселение Сосенское;город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 7, корпус 1;77-11-505;27.02.2040;;920027034
368;ИП Салихова Е.В.;Восточный административный округ;район Богородское;город Москва, 4-я Гражданская улица, дом 36;77-01-506;16.03.2040;;920027036
369;ООО ЗООГАЛЕРЕЯ 3;Северный административный округ;район Аэропорт;город Москва, Часовая улица, дом 18, строение 3;77-04-507;05.03.2040;;920027038
370;ИП Дух С.Ю.;Северный административный округ;район Сокол;город Москва, Новопесчаная улица, дом 21, корпус 1;77-04-509;13.03.2040;;920027040
371;ИП Мухина М.Ю.;Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Виноградова, дом 1, корпус 1;77-10-510;16.03.2040;;920027044
372;ИП Нескород Н.Н.;Восточный административный округ;район Северное Измайлово;город Москва, Щёлковское шоссе, дом 54;77-01-511;20.03.2040;;920027046
373;ИП Евстигнеева Ю.А.;Северо-Восточный административный округ;Алексеевский район;город Москва, улица Павла Корчагина, дом 2;77-05-512;21.03.2040;;920027047
374;ИП Беспалова М.Н.;Юго-Восточный административный округ;район Марьино;город Москва, Батайский проезд, дом 25;77-09-513;09.04.2040;;920027049
375;ООО ГУД ВЕТ;Восточный административный округ;район Новогиреево;город Москва, Фрязевская улица, дом 4;77-01-514;10.04.2040;;920027052
376;ИП Полянский А.Н.;Юго-Восточный административный округ;Южнопортовый район;город Москва, 1-я Дубровская улица, дом 8/12;77-09-515;10.04.2040;;920027055
377;ООО ВЦ ВАШ ДОБРЫЙ ДОКТОР;Восточный административный округ;район Богородское;город Москва, Погонный проезд, дом 1, корпус 9;77-01-516;23.04.2040;;920027065
378;ООО ПАРОЛЕ;Западный административный округ;район Солнцево;город Москва, улица Терёшково, владение 1;77-03-517;01.06.2040;;927068411
379;ООО Ветеринарная клиника В ДОБРЫЕ РУКИ;Юго-Западный административный округ;Обручевский район;город Москва, улица Намёткина, дом 3;77-10-518;01.06.2040;;927068419
381;ООО Лиман Сервис;Юго-Восточный административный округ;Рязанский район;город Москва, Зарайская улица, владение 48А, строение 1;77-09-520;02.07.2040;;933347014
383;ООО Лиман Сервис;Северо-Западный административный округ;район Южное Тушино;город Москва, улица Свободы, дом 39;77-06-522;02.07.2040;;933347030
384;ИП Садоведов К.П.;Западный административный округ;район Ново-Переделкино;город Москва, Чоботовская улица, дом 17, корпус 1;77-03-523;02.07.2040;;933347057
385;ИП Лукина А.А.;Южный административный округ;район Чертаново Южное;город Москва, Россошанская улица, дом 4, корпус 1;77-08-524;02.07.2040;;933348583
386;ООО ЗЕВС ВЕТ;Северный административный округ;Хорошёвский район;город Москва, улица Полины Осипенко, дом 10, корпус 1;77-04-525;07.07.2042;;933348629
387;ИП Серебряков И.В.;Восточный административный округ;район Гольяново;город Москва, Байкальская улица, дом 13, строение 1;77-01-526;08.07.2041;;933348641
388;ИП Нерсисян Н.А.;Юго-Западный административный округ;район Черёмушки;город Москва, Новочерёмушкинская улица, дом 57;77-10-527;02.07.2040;;933348677
389;ИП Шибитов С.К.;Троицкий административный округ;поселение Вороновское;"город Москва, поселение Вороновское, посёлок ЛМС, микрорайон ""Солнечный городок"", дом 2А";77-12-528;02.07.2040;;933348729
390;ООО ВетСемья;Северо-Восточный административный округ;район Отрадное;город Москва, Алтуфьевское шоссе, дом 40Д;77-05-529;07.08.2040;;1006410946
391;ИП Птицын И.А.;Северо-Восточный административный округ;Ярославский район;город Москва, Палехская улица, дом 21;77-05-530;13.08.2040;;1006411431
392;ИП Лобанов П.С.;Юго-Восточный административный округ;район Лефортово;город Москва, улица Лефортовский Вал, дом 9А, строение 1;77-09-531;07.08.2040;;1006412498
393;ООО Ганбару;Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 144;77-10-532;07.08.2040;;1006412506
394;ИП Бредис Е.Н.;Северный административный округ;Савёловский район;город Москва, 4-й Вятский переулок, дом 16, корпус 1;77-04-533;07.08.2040;;1006412517
395;ООО АНТА;Центральный административный округ;Басманный район;город Москва, Доброслободская улица, дом 7/1;77-07-534;11.12.2040;;1026489784
396;ООО ЛЕОПОЛЬД И КО;Западный административный округ;район Солнцево;город Москва, улица Терёшково, владение 1;77-03-535;10.12.2041;;1026489785
397;ИП Останина Е А;Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 21, строение 8;77-10-536;16.12.2041;;1026489786
398;ИП Останина Е.А.;Восточный административный округ;район Новогиреево;город Москва, Новогиреевская улица, дом 53;77-10-537;23.12.2042;;1026489787
399;ООО ИВЦ МВА;Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 8, строение 2;77-03-538;10.12.2047;;1026489788
400;ООО ВЕТ СИТИ ЦЕНТР;Северо-Восточный административный округ;Алексеевский район;город Москва, Зубарев переулок, дом 7;77-05-539;14.12.2049;;1026489789
401;ИП Шевчченко И.А.;Южный административный округ;район Нагатинский Затон;город Москва, проспект Андропова, дом 15;77-08-540;05.12.2040;;1026489791
402;ИП Соломатникова А.И.;Юго-Восточный административный округ;район Лефортово;город Москва, шоссе Энтузиастов, дом 13, строение 4;77-09-541;30.11.2044;;1026489797
403;ООО ВДМ;Восточный административный округ;район Перово;город Москва, Перовская улица, дом 23;77-01-542;06.12.2046;;1026489799
404;ООО Ветеринарный эксперт;Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, набережная Новикова-Прибоя, дом 5, корпус 2;77-06-543;28.11.2046;;1026489802
405;ООО БЕЛЫЙ КЛЫК ВЕТ;Северо-Западный административный округ;район Строгино;город Москва, улица Исаковского, дом 2;77-06-544;18.12.2041;;1026489805
406;ИП Ионичевская Т.В.;Южный административный округ;Даниловский район;город Москва, улица Серпуховский Вал, дом 20;77-08-545;11.12.2046;;1026489809
407;ИП Чухарева О.В.;Юго-Восточный административный округ;район Некрасовка;город Москва, улица Вертолётчиков, дом 11;77-09-546;10.12.2019;;1026489824
408;ИП Чипига Ю.А.;Южный административный округ;район Чертаново Центральное;город Москва, Днепропетровская улица, дом 37, корпус 2;77-08-547;19.12.2046;;1026489835
409;ООО ЗООКлиник;Северо-Западный административный округ;район Покровское-Стрешнево;город Москва, Врачебный проезд, дом 8;77-06-548;16.12.2042;;1026489836
410;ООО Петсервис;Западный административный округ;район Раменки;город Москва, проспект Вернадского, дом 6;77-03-550;03.12.2047;;1026489851
411;ООО Шанс Био Север;Северо-Восточный административный округ;район Марфино;город Москва, Гостиничная улица, дом 10, корпус 5;77-05-551;11.12.2046;;1026489853
412;ООО ЭСПЕРАНС;Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, 3-й Силикатный проезд, дом 4, корпус 1, строение 6;77-06-552;08.12.2048;;1026489855
413;ИП Кабанова Е.И.;Юго-Восточный административный округ;район Печатники;город Москва, улица Гурьянова, дом 4, корпус 2;77-09-553;07.12.2050;;1026489856
414;ООО ВЕТМАРКЕТ;Новомосковский административный округ;поселение Московский;город Москва, город Московский, 3-й микрорайон, дом 2;77-11-554;23.01.2043;;1028449088
415;ИП Шилкина Е.И.;Юго-Западный административный округ;район Коньково;город Москва, улица Островитянова, дом 43;77-10-555;23.01.2043;;1028449091
416;ИП Спирин А.С.;Юго-Западный административный округ;район Северное Бутово;город Москва, улица Грина, дом 30;77-10-557;29.01.2043;;1028449134
417;ИП Ульянова М.М.;Юго-Восточный административный округ;район Марьино;город Москва, Белореченская улица, дом 38, корпус 1;77-09-563;15.02.2041;;1029948974
418;ИП Панюхно Е.Г.;Восточный административный округ;район Новогиреево;город Москва, Зелёный проспект, дом 42;77-01-564;15.02.2041;;1029949348
419;Ветеринарный центр ФГБОУ ВО МГАВМиБ-МВА им. К.И. Скрябина;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, улица Академика Скрябина, дом 23, строение 7;77-09-565;13.02.2043;;1029949471
420;ИП Клевцов-Канарш М.А.;Восточный административный округ;район Косино-Ухтомский;город Москва, Святоозерская улица, дом 22;77-01-567;07.02.2041;;1029949491
421;ИП Евдокимов А.В.;Восточный административный округ;район Богородское;город Москва, Краснобогатырская улица, дом 2, строение 86;77-01-566;19.03.2043;;1031206661
422;ИП Клевцов-Канарш М.А.;Южный административный округ;район Нагатинский Затон;город Москва, Корабельная улица, дом 17, корпус 1;77-08-568;17.03.2044;;1031206662
423;ИП Макарова Е.А.;Южный административный округ;район Нагатинский Затон;город Москва, Нагатинская набережная, дом 54, строение 2;77-08-571;05.03.2042;;1031206986
424;ИП Суаро А.В.;Центральный административный округ;Мещанский район;город Москва, Олимпийский проспект, дом 22, строение 5;77-07-572;15.03.2041;;1031206992
425;ООО Благодел-вет;Восточный административный округ;район Новогиреево;город Москва, Перовская улица, дом 66, корпус 6;77-01-570;21.03.2040;;1031206999
426;ИП Баляба П.А.;Восточный административный округ;район Перово;город Москва, 1-я Владимирская улица, дом 4;77-01-573;13.03.2041;;1031207014
427;ИП Подольский А.А.;Юго-Западный административный округ;район Северное Бутово;город Москва, Куликовская улица, дом 3;77-10-574;13.03.2041;;1031207031
428;ИП Крючков Д.В.;Южный административный округ;район Чертаново Северное;город Москва, Балаклавский проспект, дом 9;77-08-575;21.05.2042;;1031207042
429;ИП Мезин А.В.;Северный административный округ;район Западное Дегунино;город Москва, улица Бусиновская Горка, дом 1, строение 1;77-04-576;30.05.2047;;1044592260
430;ООО ВЕТКАБ;Восточный административный округ;район Ивановское;город Москва, Челябинская улица, дом 21;77-01-578;21.06.2040;;1044592597
431;ООО Арчибальд;Юго-Западный административный округ;Ломоносовский район;город Москва, проспект Вернадского, дом 27, корпус 1;77-10-579;22.06.2045;;1044592684
432;ИП Малежик Е.С.;Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 36, корпус 1;77-10-580;25.06.2048;;1044592785
433;ИП Придатко А.Г.;Северный административный округ;район Сокол;город Москва, улица Панфилова, дом 6Б;77-04-581;14.06.2046;;1044592961
434;ИП Кошкарева О.И.;Восточный административный округ;район Новокосино;город Москва, Салтыковская улица, дом 25А;77-01-582;19.06.2042;;1044593148
435;ООО ВЕТТЕРИТОРИЯ;Центральный административный округ;район Хамовники;город Москва, Большой Саввинский переулок, дом 9, строение 2;77-07-583;29.06.2044;;1044593304
436;ООО ЦВМ;Южный административный округ;район Орехово-Борисово Северное;город Москва, улица Маршала Захарова, дом 6, корпус 1, строение 2;77-08-584;23.06.2044;;1044593466
437;ООО ЛЕОПОЛЬД И КО;Восточный административный округ;район Ивановское;город Москва, Магнитогорская улица, дом 1;77-01-585;21.06.2046;;1044593680
438;ИП Артюков А.В.;Восточный административный округ;район Северное Измайлово;город Москва, Щёлковское шоссе, дом 54;77-01-586;24.06.2048;;1044593819
439;ООО АЛЬФА МЕДИКА;Восточный административный округ;район Северное Измайлово;город Москва, Щёлковское шоссе, дом 54;77-04-587;13.07.2040;;1047350420
440;ИП Зубрилин Д.Ю.;Западный административный округ;район Кунцево;город Москва, Молодогвардейская улица, дом 27, корпус 2;77-03-588;24.07.2042;;1047350704
441;ИП Лабин Д.К.;Зеленоградский административный округ;район Крюково;город Москва, город Зеленоград, Георгиевский проспект, дом 37, корпус 3;77-02-589;19.07.2040;;1047350790
442;ООО АЛЬФА-ВЕТ;Южный административный округ;район Чертаново Южное;город Москва, улица Газопровод, дом 6, корпус 2;77-11-590;18.07.2042;;1047350831
443;ООО ФРИСТАЙЛ;Новомосковский административный округ;поселение Московский;город Москва, город Московский, 3-й микрорайон, дом 8;77-11-591;01.11.2040;;1062238371
444;ИП Милованов Г.В.;Центральный административный округ;Таганский район;город Москва, Большая Андроньевская улица, дом 11/13;77-07-592;04.10.2041;;1062238427
445;ООО ВЕТОКЛИНИКА;Северный административный округ;Дмитровский район;город Москва, Ангарская улица, дом 51, корпус 2;77-04-593;21.10.2042;;1062238457
446;ИП Рябокуль А.И.;Северо-Восточный административный округ;район Северное Медведково;город Москва, Осташковская улица, дом 30;77-05-595;24.10.2040;;1062238477
447;ООО ПЕТ ВЕТ СЕРВИСЕЗ;Северный административный округ;Головинский район;город Москва, Головинское шоссе, дом 5, корпус 1;77-04-596;23.10.2041;;1062238678
448;ООО ВЕТФЕНИКС;Северо-Западный административный округ;район Южное Тушино;город Москва, улица Свободы, дом 35;77-06-597;23.10.2041;;1062239319
449;ИП Белоусов К.В.;Южный административный округ;район Чертаново Южное;город Москва, Кировоградская улица, дом 44Б, строение 2;77-08-598;25.10.2040;;1062239644
450;ИП Стененко Ю.С.;Центральный административный округ;Таганский район;город Москва, улица Сергия Радонежского, дом 23-25, строение 1;77-07-599;23.10.2041;;1062239705
451;ИП Стененко Ю.С.;Северо-Восточный административный округ;район Южное Медведково;город Москва, Полярная улица, дом 10, строение 1;77-05-600;17.10.2041;;1062239770
452;ИП Останин О.А.;Юго-Западный административный округ;район Южное Бутово;город Москва, улица Адмирала Лазарева, дом 35;77-06-601;15.12.2044;;1078725620
453;ИП Литвинкова М.Е.;Северо-Восточный административный округ;район Северное Медведково;город Москва, проезд Шокальского, дом 55, корпус 2;77-05-601;20.12.2046;;1078726087
454;ИП Иванькова К.В.;Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 55;77-10-602;19.12.2047;;1078726185
455;ИП Останин А.А.;Восточный административный округ;район Новогиреево;город Москва, Новогиреевская улица, дом 53;77-01-603;13.12.2046;;1078726479
456;ИП Орлова Е.С.;Западный административный округ;район Ново-Переделкино;город Москва, Боровское шоссе, дом 20;77-03-604;07.12.2045;;1078726656
457;ИП Останин О.А.;Северо-Западный административный округ;район Митино;город Москва, улица Генерала Белобородова, дом 30;77-06-604;08.12.2044;;1078726752
458;ИП Орлова Е.С.;Новомосковский административный округ;поселение Внуковское;город Москва, поселение Внуковское, улица Авиаконструктора Петлякова, дом 5;77-11-605;05.12.2047;;1078727035
459;ИП Орлова Е.С.;Новомосковский административный округ;поселение Внуковское;город Москва, поселение Внуковское, улица Бориса Пастернака, дом 23;77-11-606;11.12.2041;;1078727119
460;ООО ПРОЛАПЫ;Восточный административный округ;район Сокольники;город Москва, Стромынский переулок, дом 4;77-01-607;11.12.2042;;1078727272
461;ИП Куликова Г.И.;Юго-Западный административный округ;район Ясенево;город Москва, Литовский бульвар, дом 7;77-10-608;10.12.2047;;1078727364
462;ООО Мяулай;Северо-Западный административный округ;район Митино;город Москва, Уваровский переулок, дом 3;77-06-609;12.12.2045;;1078727503
463;ИП Евдокимова А.Г.;Новомосковский административный округ;поселение Десеновское;город Москва, поселение Десеновское, Нововатутинский проспект, дом 11;77-11-610;05.12.2046;;1078727694
464;ИП Демина Е.Б.;Западный административный округ;район Фили-Давыдково;город Москва, Большая Филёвская улица, дом 57, корпус 1;77-03-611;07.12.2044;;1078736889
465;ИП Стененко Ю.С.;Северо-Западный административный округ;район Северное Тушино;город Москва, Туристская улица, дом 10, корпус 1;77-06-612;12.12.2040;;1078737276
466;ИП Угнивенко А.А.;Северо-Восточный административный округ;Алтуфьевский район;город Москва, Путевой проезд, дом 52;77-06-613;14.12.2040;;1080813647
467;ООО ЗОО-ВЕТ-МАГ;Центральный административный округ;Басманный район;город Москва, Покровский бульвар, дом 16/10, строение 1;77-07-614;06.12.2040;;1080813669
468;ИП Шумкова К.М.;Северо-Восточный административный округ;Бабушкинский район;город Москва, Ленская улица, дом 2/21;77-05-615;11.12.2041;;1080813688
469;ООО ЗООГАЛЕРЕЯ 18;Северный административный округ;район Аэропорт;город Москва, Часовая улица, дом 18, строение 3;77-04-616;13.12.2041;;1080813709
470;ИП Куцына О.А.;Восточный административный округ;район Гольяново;город Москва, Хабаровская улица, дом 4, корпус 1;77-01-617;10.12.2042;;1080813726
471;Ип Останин А.А.;Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 21, строение 8;77-10-618;18.12.2040;;1080813750
472;ИП Подольский А.А.;Юго-Западный административный округ;район Северное Бутово;город Москва, Куликовская улица, дом 3;77-10-619;13.12.2040;;1080813765
473;ИП Останин О.А.;Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Тёплый Стан, дом 5, корпус 4;77-10-620;06.12.2045;;1080813785
474;ООО ВЕТПРАКТИК;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, Ташкентская улица, дом 29/179;77-09-620;24.12.2042;;1080813789
475;ООО Седофф;Троицкий административный округ;поселение Первомайское;город Москва, поселение Первомайское, квартал № 328, дом 87, строение 6;77-12-622;06.12.2046;;1080813790
476;ИП Веберг А.Б.;Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, Карамышевская набережная, дом 2А;77-06-623;13.12.2044;;1080813793
477;ИП Рабинович Г.Б.;Северо-Восточный административный округ;район Северный;город Москва, Дмитровское шоссе, дом 165Д, корпус 6;77-05-624;13.12.2041;;1080813796
478;ИП Вилковыский И.Ф.;Троицкий административный округ;поселение Троицк;город Москва, город Троицк, Физическая улица, дом 13;77-12-625;14.02.2041;;1089475098
479;ИП Амосова Т.Б.;Северо-Восточный административный округ;район Марфино;Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, Большая Марфинская улица, дом 4А;77-06-626;14.02.2046;;1089475141
480;ИП Амосова Т.Б.;Северный административный округ;Дмитровский район;город Москва, Клязьминская улица, дом 8, корпус 2;77-04-627;17.02.2044;;1089475171
481;ИП Амосова Т.Б.;Северный административный округ;район Ховрино;город Москва, улица Лавочкина, дом 32;77-04-628;20.02.2041;;1089475195
482;ИП Золотарев А.Ю.;Новомосковский административный округ;поселение Сосенское;город Москва, поселение Сосенское, бульвар Веласкеса, дом 7, корпус 1;77-11-629;12.02.2043;;1089475245
483;ИП Белобрагина В.С.;Новомосковский административный округ;поселение Московский;город Москва, город Московский, 1-й микрорайон, дом 23;77-11-631;13.02.2041;;1089475301
484;ИП Волчкова К.А.;Южный административный округ;район Орехово-Борисово Южное;город Москва, Каширское шоссе, дом 65, корпус 1;77-08-632;03.02.2043;;1089475356
485;ИП Вельмискин Д.В.;Северный административный округ;Бескудниковский район;город Москва, Дмитровское шоссе, дом 97, корпус 1;77-04-633;11.02.2043;;1089475434
486;ИП Засыпкин О.Ю.;Новомосковский административный округ;поселение Сосенское;город Москва, поселение Сосенское, деревня Сосенки, дом 126;77-11-635;17.04.2042;;1103689658
487;ООО ГРУМ-ПРОФИ;Юго-Западный административный округ;район Зюзино;город Москва, Симферопольский бульвар, дом 16, корпус 2;77-08-636;14.04.2044;;1103689775
488;ООО НЬЮВЕТПРО ФИЛИ;Западный административный округ;район Фили-Давыдково;Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Малая Филёвская улица, дом 12, корпус 1;77-03-637;19.04.2041;;1103689871
489;ИП Бредис Е.Н.;Юго-Западный административный округ;район Южное Бутово;город Москва, улица Маршала Савицкого, дом 18, корпус 1;77-10-638;20.04.2040;;1103689981
490;ИП Милованов Г.В.;Западный административный округ;район Фили-Давыдково;город Москва, Кастанаевская улица, дом 55, корпус 1;77-03-639;26.04.2041;;1103690057
491;ИП Фликов А.Г.;Восточный административный округ;район Соколиная Гора;город Москва, Малая Семёновская улица, дом 28, строение 4;77-01-640;09.04.2043;;1103690156
492;ИП Быценко Ю.Н.;Юго-Западный административный округ;район Северное Бутово;Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, бульвар Дмитрия Донского, домовладение 17А;77-10-642;05.04.2041;;1103690878
493;ИП Стененко В.А.;Юго-Восточный административный округ;Рязанский район;город Москва, Зарайская улица, владение 48А, строение 1;77-09-643;19.04.2041;;1103691579
494;ИП Дятлов Д.А.;Северный административный округ;район Ховрино;город Москва, Зеленоградская улица, дом 17, корпус 4;77-04-644;18.04.2042;;1103691688
495;ИП Мягков И.И.;Северный административный округ;район Восточное Дегунино;город Москва, Дубнинская улица, дом 50;77-04-645;18.04.2041;;1103691793
496;Белый Клык ООО АЛЬФА БК;Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 6/2, строение 2;77-07-646;18.04.2042;;1103692462
497;Белый Клык ООО АЛЬФА БК;Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 55, корпус 1;77-06-647;19.07.2040;;1103692640
498;Белый Клык ООО АЛЬФА БК;Северо-Западный административный округ;район Строгино;город Москва, Неманский проезд, дом 1А;77-06-648;16.04.2048;;1103693786
499;ООО Зумик;Восточный административный округ;район Гольяново;город Москва, Уссурийская улица, дом 9;77-01-649;17.04.2042;;1103695084
500;ИП Садин С.М.;Северный административный округ;Савёловский район;город Москва, Полтавская улица, дом 33;77-04-650;19.04.2041;;1103695455
501;ООО Пет Ритейл;Центральный административный округ;Таганский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Нижегородская улица, дом 2, корпус 1;77-07-641;19.04.2041;;1103695726
502;ИП Кошкарева О.И.;Восточный административный округ;район Перово;Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, улица Металлургов, дом 11;77-01-651;15.05.2041;;1103695878
503;ИП Клименко Р.В.;Центральный административный округ;район Хамовники;город Москва, Малая Пироговская улица, дом 25;77-07-652;22.04.2043;;1103696012
504;ООО ВЕТЭМБУЛАНС.РУ;Новомосковский административный округ;поселение Московский;город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 5;77-11-653;18.04.2041;;1103696607
505;ООО Ветеринарная клиника ВЕСТА;Северо-Восточный административный округ;район Марьина Роща;Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, 3-й проезд Марьиной Рощи, дом 5;77-05-654;18.04.2041;;1103696695
506;ИП Сергеева А.Г.;Северный административный округ;район Коптево;город Москва, улица Зои и Александра Космодемьянских, дом 30/32, корпус 1;77-04-656;12.04.2040;;1103696783
507;ООО АММ;Южный административный округ;Донской район;город Москва, Севастопольский проспект, 13А;77-10-569;22.04.2049;;1103709633
508;ООО ВЕТЭНИМАЛС;Восточный административный округ;район Гольяново;Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Уральская улица, дом 5;77-01-268;25.04.2041;;1111213261
509;ООО ЛДВЦ МВА;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, улица Академика Скрябина, дом 23, строение 7;77-09-655;25.04.2040;;1111213912
510;ООО Свой доктор плюс;Восточный административный округ;район Ивановское;Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Сталеваров, дом 22, корпус 2;77-01-657;25.04.2040;;1111214149
511;ООО Торговый Дом Киселева;Восточный административный округ;район Перово;город Москва, Перовская улица, дом 22, корпус 1;77-01-658;24.04.2040;;1111214237
512;ООО Зооветцентр БАЛТО;Северный административный округ;Дмитровский район;город Москва, Долгопрудная улица, дом 8, строение 3;77-04-659;25.04.2040;;1111214268
513;ООО А М Вет;Западный административный округ;район Солнцево;город Москва, улица Авиаторов, дом 13, строение 1;77-03-660;19.04.2040;;1111214310
514;ИП Колпиков Д.А.;Юго-Западный административный округ;Гагаринский район;город Москва, Ленинский проспект, дом 36;77-10-661;23.04.2042;;1111214361
515;ИП Борзенко Е.В.;Юго-Западный административный округ;район Северное Бутово;Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Куликовская улица, дом 7;77-10-662;28.04.2042;;1111214399
516;ИП Захаренко Д.А.;Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, Карамышевская набережная, дом 48, корпус 1;77-06-663;10.04.2045;;1111214418
517;ООО ВЕТАМ СВ;Центральный административный округ;Басманный район;город Москва, Бауманская улица, дом 54, строение 3;77-07-664;18.04.2040;;1111214439
518;ИП Лобанов П.С.;Восточный административный округ;район Перово;город Москва, 1-я улица Энтузиастов, дом 4;77-01-667;21.06.2040;;1126065636
519;ООО Альянс М;Юго-Восточный административный округ;Рязанский район;город Москва, Зеленодольская улица, дом 18, корпус 1;77-09-668;20.06.2041;;1126065927
520;ИП Мезин А.В.;Северный административный округ;Головинский район;город Москва, Ленинградское шоссе, дом 80, строение 1;77-04-672;13.06.2040;;1126066469
521;ИП Останин О.А.;Северо-Восточный административный округ;Лосиноостровский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, улица Малыгина, дом 9, строение 2;77-05-669;21.06.2040;;1126066471
522;ИП Белова А.В.;Западный административный округ;район Филёвский Парк;город Москва, Филёвский бульвар, дом 1;77-03-671;24.06.2043;;1126066484
523;ИП Юшкова Т.В.;Северный административный округ;Головинский район;город Москва, Смольная улица, дом 10, строение 2;77-04-670;13.06.2041;;1126066594
-1;Другая государственная клиника;;;;;;;
-1;Другая коммерческая клиника;;;;;;;
-1;Зарубежная клиника;;;;;;;
