Текущий вид;Текущая порода;Новый вид;Новая порода;id_species;id_breed;
собаки;большой немецкий шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;25;752;
собаки;бордер колли;Собаки;БОРДЕР КОЛЛИ ;25;614;
собаки;бордер терьер;Собаки;БОРДЕР ТЕРЬЕР ;25;661;
собаки;бордосский дог (французский мастифф);Собаки;Бордоский дог;25;755;
собаки;борзой, русская псовая борзая;Собаки;РУССКАЯ ПСОВАЯ БОРЗАЯ ;25;615;
собаки;босерон;Собаки;Французская гладкошерстная овчарка (черноподпалый);25;600;
собаки;бостон-терьер;Собаки;БОСТОН ТЕРЬЕР ;25;616;
собаки;брабансон;Собаки;Пти Брабансон;25;758;
собаки;бретонский эпаньоль;Собаки;БРЕТОНСКИЙ ЭПАНЬОЛ ;25;692;
собаки;бриар;Собаки;БРИАР ;25;618;
собаки;брюссельский гриффон;Собаки;БРЮССЕЛЬСКИЙ ГРИФФОН ;25;680;
собаки;бульмастиф;Собаки;Бульмастиф;25;619;
собаки;бультерьер;Собаки;БУЛЬТЕРЬЕР ;25;584;
собаки;бультерьер миниатюрный;Собаки;Бультерьер миниатюрный;25;886;
собаки;бурбонский брак;Собаки;Бурбонский бракк;25;764;
собаки;бурбуль;Собаки;Южноафриканский бурбуль;25;1038;
собаки;веймаренер;Собаки;ВЕЙМАРАНЕР ;25;677;
собаки;Вельш корги;Собаки;Вельш корги;25;1158;
собаки;вельш корги кардиган;Собаки;Вельш корги кардиган;25;621;
собаки;вельш корги пемброук;Собаки;Вельш корги пемброк;25;658;
собаки;вельш-терьер;Собаки;ВЕЛЬШ ТЕРЬЕР ;25;682;
собаки;вестфальский таксообразный брак;Собаки;Вестфальский таксообразный бракк;25;768;
собаки;вест хайленд уайт терьер;Собаки;ВЕСТ ХАЙЛЕНД ВАЙТ ТЕРЬЕР ;25;1001;
собаки;ветерхаунд, голландский спаниель;Собаки;Веттерхун (голландский водяной спаниель);25;769;
собаки;восточно-европейская овчарка;Собаки;Восточно-европейская овчарка;25;773;
собаки;восточносибирская лайка;Собаки;Восточно-сибирская лайка;25;774;
собаки;выжла, венгерская легавая;Собаки;ВЕНГЕРСКАЯ КОРОТКОШЕРСТНАЯ ЛЕГАВАЯ ;25;676;
собаки;гаванский бишон;Собаки;Бишон хаванез;25;777;
собаки;германский дратхаар;Собаки;НЕМЕЦКИЙ ДРАТХААР ;25;594;
собаки;гладкошерстный ретривер;Собаки;ПРЯМОШЕРСТНЫЙ РЕТРИВЕР ;25;781;
собаки;гладкошерстный фокстерьер;Собаки;ФОКСТЕРЬЕР ГЛАДКОШЕРСТНЫЙ ;25;782;
собаки;голая собака инков;Собаки;Перуанская голая собака (средняя);25;788;
собаки;голландская овчарка;Собаки;Голландская овчарка (длинношерстная);25;784;
собаки;голубой пикардийский эпаньоль;Собаки;Голубой пикардийский спаниель;25;791;
собаки;голубой хиллер;Собаки;АВСТРАЛИЙСКИЙ ХИЛЕР ;25;792;
собаки;гончая плотта;Собаки;Гончая Плотта;25;794;
собаки;гордон-сеттер;Собаки;СЕТТЕР ГОРДОН ;25;631;
собаки;гранди поденгу португезу;Собаки;Португальский поденго (гладкошерстный);25;753;
собаки;грейхаунд;Собаки;ГРЕЙХАУНД ;25;633;
собаки;Гриффон;Собаки;Гриффон;25;1154;
собаки;гриффон кортальса;Собаки;Гриффон Кортальса;25;801;
собаки;далматин;Собаки;ДАЛМАТИН ;25;581;
собаки;датский брохольмер;Собаки;Брохолмер;25;611;
собаки;денди-динмонт терьер;Собаки;ДЕНДИ ДИНМОНТ ТЕРЬЕР ;25;625;
собаки;джек рассел терьер;Собаки;Джек-рассел-терьер;25;1148;
собаки;джек-рассел-терьер;Собаки;Джек-рассел-терьер;25;803;
собаки;Доберман;Собаки;Доберман;25;1155;
собаки;доберман-пинчер;Собаки;Доберман-пинчер;25;573;
собаки;дратхаар;Собаки;НЕМЕЦКИЙ ДРАТХААР ;25;804;
собаки;древер;Собаки;Древер;25;805;
собаки;другая;Собаки;Другая;25;1043;
собаки;западно-сибирская лайка;Собаки;Западно-сибирская лайка;25;810;
собаки;золотистый ретривер;Собаки;ЗОЛОТИСТЫЙ РЕТРИВЕР ;25;813;
собаки;ирландский водяной спаниель;Собаки;ИРЛАНДСКИЙ ВОДНЫЙ СПАНИЕЛЬ ;25;637;
собаки;ирландский волкодав (вольфхаунд);Собаки;ИРЛАНДСКИЙ ВОЛКОДАВ ;25;638;
собаки;ирландский красно-белый сеттер;Собаки;ИРЛАНДСКИЙ КРАСНЫЙ И БЕЛЫЙ СЕТТЕР ;25;814;
собаки;ирландский сеттер;Собаки;ИРЛАНСКИЙ СЕТТЕР ;25;588;
собаки;ирландский терьер;Собаки;ИРЛАНДСКИЙ ТЕРЬЕР ;25;636;
собаки;испанский брак, испанская легавая;Собаки;Бургосский пойнтер;25;817;
собаки;испанский мастиф;Собаки;Испанский мастиф;25;818;
собаки;итальянский брак;Собаки;Итальянский бракк (бело-оранжевый);25;822;
собаки;йемтхунд, шведский элкхаунд;Собаки;Емтхунд;25;823;
собаки;йоркширский терьер;Собаки;ЙОРКШИРСКИЙ ТЕРЬЕР ;25;995;
собаки;кавказская овчарка;Собаки;Кавказская овчарка;25;824;
собаки;ка де бо;Собаки;Перро дого майоркин (ка де бо);25;1010;
собаки;кангал;Собаки;Кобан кёпежи (анатолийская овчарка);25;828;
собаки;кан ди агуа;Собаки;ПОРТУГАЛЬСКАЯ ВОДНАЯ СОБАКА ;25;831;
собаки;кане корсо;Собаки;Кане корсо;25;699;
собаки;каракачанская овчарка;Собаки;Каракачанская собака (Болгарская овчарка);25;991;
собаки;карело-финская лайка;Собаки;Карело-Финская лайка;25;668;
собаки;карликовый пинчер;Собаки;Карликовый пинчер;25;1007;
собаки;кеесхонд;Собаки;Вольфшпиц;25;836;
собаки;келпи;Собаки;Келпи;25;837;
собаки;керн-терьер;Собаки;КЕРН ТЕРЬЕР ;25;620;
собаки;керри блю терьер;Собаки;КЕРРИ БЛЮ ТЕРЬЕР ;25;643;
собаки;китайская хохлатая собака;Собаки;КИТАЙСКАЯ ХОХЛАТАЯ СОБАКА ;25;843;
собаки;кламбер спаниель;Собаки;КЛАМБЕР СПАНИЕЛЬ ;25;844;
собаки;колли, шотландская овчарка;Собаки;КОЛЛИ ДЛИННОШЕРСТНЫЙ ;25;994;
собаки;комондор, венгерская овчарка;Собаки;Комондор;25;644;
собаки;котон де тулеар;Собаки;Котон де туло;25;847;
собаки;крапчато-голубой кунхаунд;Собаки;Черноподпалый кунхаунд (енотовая собака);25;848;
собаки;ксолойтцкуинтли;Собаки;Мексиканская голая собака (стандартная);25;851;
собаки;курцхаар;Собаки;НЕМЕЦКИЙ КУРЦХААР ;25;853;
собаки;курчавый ретривер;Собаки;КУРЧАВОШЕРСТНЫЙ РЕТРИВЕР ;25;854;
собаки;лабрадор;Собаки;Лабрадор;25;598;
собаки;лабрадор ретривер;Собаки;Лабрадор-ретривер;25;1149;
собаки;лабрадор-ретривер;Собаки;Лабрадор-ретривер;25;646;
собаки;лаготто-романьоло;Собаки;Лаготто-романьоло (Итальянская водяная собака);25;1041;
собаки;ландсир;Собаки;Ландсир;25;857;
собаки;ланкаширский хилер;Собаки;Ланкаширский хилер;25;858;
собаки;лапландский шпиц;Собаки;Шведский лаппхунд;25;861;
собаки;левретка, итальянская борзая;Собаки;ИТАЛЬЯНСКАЯ ЛЕВРЕТКА ;25;820;
собаки;лейкланд-терьер;Собаки;ЛЕЙКЛЕНД ТЕРЬЕР ;25;647;
собаки;леонбергер;Собаки;ЛЕОНБЕРГЕР ;25;575;
собаки;лхасский апсо;Собаки;ЛХАССКИЙ АПСО ;25;648;
собаки;малый брабансон;Собаки;Пти Брабансон;25;872;
собаки;малый вандейский бассет-гриффон;Собаки;МАЛЫЙ ВАНДЕЙСКИЙ БАССЕТ-ГРИФОН ;25;873;
собаки;малый мюнстерлендер;Собаки;Малая мюнстерлендерская легавая;25;874;
собаки;мальтез, мальтийский бишон;Собаки;МАЛЬТЕЗЕ ;25;649;
собаки;манчестерский терьер;Собаки;МАНЧЕСТЕР ТЕРЬЕР ;25;1013;
собаки;маремма;Собаки;Маремма-абрутская овчарка;25;597;
собаки;мастино наполетано;Собаки;Мастино-наполетано;25;880;
собаки;медиу поденгу португезу;Собаки;Португальский поденго (гладкошерстный);25;882;
собаки;метис;Собаки;Метис;25;1046;
собаки;миниатюрный ксолойтцкуинтли;Собаки;Мексиканская голая собака (миниатюрная);25;884;
собаки;миттельшнауцер;Собаки;Миттельшнауцер;25;696;
собаки;мопс;Собаки;МОПС ;25;1012;
собаки;московская сторожевая;Собаки;Московская сторожевая;25;651;
собаки;московский длинношерстный той-терьер;Собаки;Русский той-терьер длинношерстный;25;892;
собаки;московский дракон;Собаки;Московский дракон;25;1005;
собаки;московский короткошерстный той-терьер;Собаки;Русский той-терьер;25;891;
собаки;немецкая овчарка;Собаки;НЕМЕЦКАЯ ОВЧАРКА ;25;571;
собаки;немецкий вахтельхунд;Собаки;Немецкая перепелиная собаки;25;896;
собаки;немецкий вольфшпиц;Собаки;Вольфшпиц;25;897;
собаки;немецкий дог;Собаки;НЕМЕЦКИЙ ДОГ ;25;701;
собаки;немецкий карликовый шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;25;898;
собаки;немецкий шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;25;899;
собаки;нивернейский гриффон;Собаки;Нивернесский гриффон;25;901;
собаки;новошотландский ретривер;Собаки;Новошотландский утиный ретривер;25;903;
собаки;норботтен шпиц;Собаки;Норботеншпиц;25;904;
собаки;норвежский элкхаунд;Собаки;НОРВЕЖСКИЙ ЭЛЬГХУНД ;25;653;
собаки;норвич-терьер;Собаки;НОРВИЧ ТЕРЬЕР ;25;655;
собаки;норфолк терьер;Собаки;НОРФОЛК ТЕРЬЕР ;25;909;
собаки;ньюфаундленд;Собаки;НЬЮФАУНДЛЕНД ;25;583;
собаки;орхидея петербургская;Собаки;Петербургская орхидея;25;1011;
собаки;палевый бретонский бассет-гриффо;Собаки;Бретонский рыжеватый гриффон;25;678;
собаки;папильон;Собаки;Папильон (папийон) ;25;657;
собаки;паттердейл-терьер;Собаки;Паттердейл-терьер;25;913;
собаки;пекинес;Собаки;ПЕКИНЕС ;25;578;
собаки;пекиньу поденгу португезу;Собаки;Португальский поденго (гладкошерстный);25;875;
собаки;перуанская орхидея инков;Собаки;Перуанская голая собака (средняя);25;679;
собаки;пинчер;Собаки;Пинчер (черноподпалый);25;579;
собаки;пинчер миниатюрный;Собаки;Карликовый пинчер;25;887;
собаки;пиринейская овчарка;Собаки;Пиренейская овчарка длинношерстная;25;609;
собаки;пиринейский мастиф;Собаки;Мастин де лос пиренеос;25;917;
собаки;подгальянская овчарка;Собаки;Польская подгалянская овчарка (Podhalaner);25;918;
собаки;поденгу ибисенко, ибисская собака;Собаки;ПОДЕНКО ИБИЦЕНКО Г-Ш ;25;635;
собаки;помераниан;Собаки;Померанский шпиц ;25;660;
собаки;померанский шпиц;Собаки;Померанский шпиц ;25;1146;
собаки;пражский крысарик;Собаки;Пражский крысарик;25;1006;
собаки;пудель;Собаки;ПУДЕЛЬ ;25;596;
собаки;пудель миниатюрный;Собаки;Пудель миниатюрный;25;888;
собаки;пудель-пойнтер;Собаки;Пудель-пойнтер;25;926;
собаки;пудель стандартный;Собаки;ПУДЕЛЬ ;25;955;
собаки;пули;Собаки;ПУЛИ ;25;927;
собаки;пуми;Собаки;Пуми;25;928;
