"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"натрия хлорид, моноэтаноламин, вода д/и."
"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций";"пропиленгликоль, натрия цитрат, бензиловый спирт, лимонная кислота, вода д/и - до 1 мл."
"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)";"метилцеллюлоза, 1,2-пропандиол, лимонная кислота, хлорэтон, натрия гидроксид (для коррекции рН), вода дистиллированная - до 1 мл."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг";"повидон К25, кросповидон, натрия лаурилсульфат, макрогол 400, натрия стеарилфумарат, печеночный порошок, лактоза."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг";"повидон К25, кросповидон, натрия лаурилсульфат, макрогол 400, натрия стеарилфумарат, печеночный порошок, лактоза."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг";"повидон К25, кросповидон, натрия лаурилсульфат, макрогол 400, натрия стеарилфумарат, печеночный порошок, лактоза."
"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения";"раствор сорбитола."
"ИПАКИТИНЕ (IPAKITINE)";"лактоза."
"ОРИДЭРМИЛ (ORIDERMYL®)";"воск полиэтиленовый, парафин жидкий."
"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим.";"парафин жидкий, смесь газов (бутан, изобутан, пропан)."
"АСД фракция 3 (ASD( )fraction 3)";"вода."
"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций";"разбавитель PBS."
"ПУЛВАК E. coli (POULVAC E. coli)";"стабилизатор LP, стерильный фосфатно-буферный раствор."
"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь";"* вакцина изготовлена из гомогената тушек, хорионаллантоисных оболочек и экстраэмбриональной жидкости СПФ-эмбрионов кур, инфицированных аттенуированным вирусом инфекционной бурсальной болезни. Вспомогательные вещества: сахарозо-альбумино-фосфатный стабилизатор, консерванты - гентамицина сульфат и суспензия нистатина."
"ПУЛВАК IB QX (POULVAC IB QX)";"* вакцина изготовлена из аллантоисной жидкости СПФ-эмбрионов кур, инфицированных аттенуированным вирусом инфекционного бронхита кур. Вспомогательные вещества (стабилизаторы): D-маннитол - 1.8-9.3 мкг, мио-инозитол - 1.8-9.3 мкг, пептон - 2.4-12.1 мкг, желатин - 2.6-13.2 мкг."
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 25 мг";"монотиоглицерол - 5 мг, пропиленгликоль - 500 мг, лимонная кислота - 19.2 мг, хлористоводородная кислота, натрия гидроксид, вода д/и - до 1 мл."
